section,thumbnail,name,title,linkedin,website,twitter,facebook,motto,photo
6.1.1.1,luyao.jpg,Luyao Zhang | 张露瑶,"Founding President (Academia Primary, Industry Secondary)",https://www.linkedin.com/in/sunshineluyao/,http://scholars.duke.edu/person/luyao.zhang,https://twitter.com/sunshineluyao,https://www.facebook.com/sunshinestar11,"Dao dejing:The Dao produced One; One produced Two; Two produced Three; Three produced All things.

道德經: 道生一，一生二，二生三，三生萬物。


Spinoza: Passion without reason is blind; Reason without passion is dead.

斯宾诺莎: 天人合一，道法自然",
6.1.1.1,yulin.jpg,Yulin Liu | 刘玉林,"Founding President (Industry Primary, Academia Secondary)","https://www.linkedin.com/in/yulineth/ ","https://www.yulinliu.me/ ",,,"Brightness derives from day’s and night’s deduction.

日月相推而明生焉",
6.1.1.2,jiasheng.png,Ray Zhu | 朱家昇,Interim Chair of AMA,"https://www.linkedin.com/in/jiasheng-ray-zhu-845241177/ ",,,,"Mencius: A just cause attracts much support, an unjust one finds little.

得道多助，失道寡助。",
6.1.1.2,xinyu.jpg,Xinyu Tian | 田馨宇,Interim Chair of Communication," https://www.linkedin.com/in/xinyu-tian-1777aa203/",,,,"读万卷书，行万里路。

Read more, travel more.",
6.1.1.2,tianyu.jpg,Tianyu Wu | 吴天语,Interim Chair of Human Resources,https://www.linkedin.com/in/tianyu-henry-wu/,,,,"English: To learn extensively, to inquire accurately, to reflect carefully, to distinguish clearly, and to manifest earnestly.

Deutsch: Lernen Sie es, hinterfragen Sie es, denken Sie sorgfältig darüber nach, unterscheiden Sie es klar und üben Sie es ernsthaft.

",
6.1.1.2,yixuan.jpg,Yixuan Li | 黎以萱,Interim Chair of Creativity,"https://www.linkedin.com/in/yixuan-li-269356192/ ",,,,"Live life. Learn lessons. Liberate yourself.

生活。学习。解放自我。",
6.1.1.2,ziliang.jpg,Ziliang (Lewis) Tian,Interim Chair of Sustainability and Social Impact,"https://www.linkedin.com/in/lewistian/ ",,,,"Seeking the best version of self

寻找最好的自己

",
6.1.1.2,zesen.jpg,Zesen Zhuang | 庄泽森,Interim Chair of Technology Development,https://www.linkedin.com/in/zesen-zhuang-624591217/,https://www.crinstaniev.com,,,"Preserve your dignity as a nobody; promote the social wellfare as a somebody.

穷则独善其身，达则兼济天下",
6.1.1.2,zichao.jpg,Zichao Chen | 陈子超,Interim Co-Chair of SciEcon Lab Incubator,https://www.linkedin.com/in/zichao-9507281a9/,,,,"Aristotle: The ultimate value of life depends upon awareness and the power of contemplation rather than upon mere survival. 

亚里士多德：人生最终的价值在于觉醒和思考的能力，而不只在于生存。

",
6.1.1.2,yufan.png,Yufan Zhang | 张宇凡,Interim Co-Chair of SciEcon Lab Incubator,"https://www.linkedin.com/in/helloyufan/ ",,,,"The running water does not rot, and the pivot of the house does not stink.

流水不腐，户枢不蠹。

",
